,title,studio,domestic_gross,foreign_gross,year,id,production_budget,profitability
1536,Jack Ryan: Shadow Recruit,Par.,50600000.0,84900000.0,2014.0,97.0,60000000.0,75500000.0
389,Contagion,WB,75700000.0,59800000.0,2011.0,71.0,60000000.0,75500000.0
1209,About Time,Uni.,15300000.0,71800000.0,2013.0,95.0,12000000.0,75100000.0
1943,Sisters,Uni.,87000000.0,18000000.0,2015.0,57.0,30000000.0,75000000.0
812,Sinister,LG/S,48100000.0,29600000.0,2012.0,69.0,3000000.0,74700000.0
800,The Lucky One,WB,60500000.0,38900000.0,2012.0,87.0,25000000.0,74400000.0
2802,Blade Runner 2049,WB,92100000.0,167200000.0,2017.0,80.0,185000000.0,74300000.0
1944,Vacation,WB (NL),58900000.0,46000000.0,2015.0,28.0,31000000.0,73900000.0
1955,Paper Towns,Fox,32000000.0,53500000.0,2015.0,68.0,12000000.0,73500000.0
1551,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",BV,67000000.0,34400000.0,2014.0,44.0,28000000.0,73400000.0
2406,Neighbors 2: Sorority Rising,Uni.,55500000.0,52600000.0,2016.0,56.0,35000000.0,73100000.0
3151,Blockers,Uni.,60300000.0,33700000.0,2018.0,60.0,21000000.0,73000000.0
64,Love and Other Drugs,Fox,32400000.0,70500000.0,2010.0,29.0,30000000.0,72900000.0
45,Unstoppable,Fox,81600000.0,86200000.0,2010.0,19.0,95000000.0,72800000.0
2418,Ouija: Origin of Evil,Uni.,35100000.0,46600000.0,2016.0,75.0,9000000.0,72700000.0
3140,Instant Family,Par.,67400000.0,53200000.0,2018.0,20.0,48000000.0,72600000.0
2405,The 5th Wave,Sony,34900000.0,75000000.0,2016.0,69.0,38000000.0,71900000.0
1939,Get Hard,WB,90400000.0,21400000.0,2015.0,97.0,40000000.0,71800000.0
805,The Possession,LGF,49100000.0,36300000.0,2012.0,81.0,14000000.0,71400000.0
801,Contraband,Uni.,66500000.0,29700000.0,2012.0,85.0,25000000.0,71200000.0
2412,My Big Fat Greek Wedding 2,Uni.,59700000.0,29200000.0,2016.0,77.0,18000000.0,70900000.0
1187,2 Guns,Uni.,75600000.0,56300000.0,2013.0,39.0,61000000.0,70900000.0
382,Jack and Jill,Sony,74200000.0,75500000.0,2011.0,11.0,79000000.0,70700000.0
2419,Manchester by the Sea,RAtt.,47700000.0,31300000.0,2016.0,30.0,8500000.0,70500000.0
44,The Other Guys,Sony,119200000.0,51200000.0,2010.0,74.0,100000000.0,70400000.0
395,We Bought a Zoo,Fox,75600000.0,44500000.0,2011.0,14.0,50000000.0,70100000.0
